TRACKING_MONTH,CARRIER,SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,ORDER_COUNT,AVG_TRANSIT_DAYS,ACTUAL_TRANSIT_DAYS,ONTIME_PERFORMANCE
2025 05,ODFL,LOSANGELES,CA,US,DOUGLAS,GA,US,39,3,1,44
2025 05,ODFL,CHICAGO,IL,US,FULTON,MO,US,23,2,3,87
2025 05,ODFL,LOSANGELES,CA,US,PUEBLO,CO,US,41,1,4,35
2025 05,ODFL,RICHMOND,VA,US,JEFFERSON,GA,US,31,1,4,18
2025 05,ODFL,DALLAS,TX,US,HOUSTON,TX,US,62,1,2,91
2025 05,RBTW,LANCASTER,TX,US,SEARCY,AR,US,26,2,3,34
2025 05,ODFL,LOSANGELES,CA,US,MOXEE,WA,US,34,2,3,67
2025 05,ODFL,DALLAS,TX,US,LEVITTOWN,PA,US,50,4,3,82
2025 05,ODFL,DALLAS,TX,US,DENVER,CO,US,26,2,2,81
2025 05,ODFL,DALLAS,TX,US,GROVEPORT,OH,US,31,3,3,88
2025 05,ODFL,DALLAS,TX,US,ONTARIO,CA,US,45,3,2,96
2025 05,ODFL,LANCASTER,TX,US,CEDAR FALLS,IA,US,5,1,1,80
2025 05,ODFL,RICHMOND,VA,US,BETHLEHEM,PA,US,51,1,4,6
2025 05,ODFL,LANCASTER,TX,US,KILGORE,TX,US,16,0,2,94
2025 05,ODFL,LANCASTER,TX,US,APPLE VALLEY,CA,US,39,1,3,31
2025 05,ODFL,LANCASTER,TX,US,BUCKEYE,AZ,US,24,1,2,63
2025 04,RBTW,CHICAGO,IL,US,LENEXA,KS,US,10,3,2,17
2025 05,ODFL,LOSANGELES,CA,US,PUYALLUP,WA,US,2,1,4,100
2025 05,ODFL,CHICAGO,IL,US,BLUFFTON,IN,US,2,1,3,50
2025 05,ODFL,RICHMOND,VA,US,UXBRIDGE,MA,US,42,2,1,93
2025 05,ODFL,LOSANGELES,CA,US,SACRAMENTO,CA,US,38,0,2,80
2025 04,ODFL,DALLAS,TX,US,CLEARWATER,FL,US,6,4,4,34
2025 05,ODFL,CHICAGO,IL,US,EAU CLAIRE,WI,US,8,1,2,88
2025 05,ODFL,RICHMOND,VA,US,GANSEVOORT,NY,US,36,2,3,56
2025 05,ODFL,CHICAGO,IL,US,PLANO,IL,US,2,1,4,50
2025 05,ODFL,LOSANGELES,CA,US,VISALIA,CA,US,20,1,3,65
2025 05,ODFL,DALLAS,TX,US,GREENCASTLE,PA,US,83,4,2,66
2024 06,ODFL,RICHMOND,VA,US,DUNN,NC,US,4,1,4,25
2024 06,ODFL,CHICAGO,IL,US,JEFFERSON,GA,US,9,2,4,12
2024 05,ODFL,CHICAGO,IL,US,FT PIERCE,FL,US,2,3,4,100
2024 06,ODFL,DALLAS,TX,US,CHICAGO,IL,US,6,3,5,100
2024 06,ODFL,DALLAS,TX,US,GREENCASTLE,PA,US,4,4,5,50
2024 06,ODFL,CHICAGO,IL,US,NEWTON,NC,US,8,2,3,100
2024 07,ODFL,LANCASTER,TX,US,HOPE MILLS,NC,US,1,2,3,100
2024 06,ODFL,RICHMOND,VA,US,MCLEANSVILLE,NC,US,4,1,7,100
2024 08,RBTW,RICHMOND,VA,US,WINCHESTER,VA,US,4,1,1,34
2024 08,HOSD,GRAND RAPIDS,MI,US,CHICAGO,IL,US,86,3,2,53
2024 06,ODFL,DALLAS,TX,US,ONTARIO,CA,US,12,3,7,25
2024 08,ODFL,LOSANGELES,CA,US,PHOENIX,AZ,US,21,1,5,48
2024 08,ODFL,LANCASTER,TX,US,KANSAS CITY,KS,US,5,1,4,60
2024 06,ODFL,CHICAGO,IL,US,LENEXA,KS,US,9,1,5,67
2024 08,ODFL,LOSANGELES,CA,US,TOLLESON,AZ,US,4,1,3,50
2024 06,ODFL,LANCASTER,TX,US,SAN ANTONIO,TX,US,10,1,2,34
